,Session Reference,Log Record Identifier,Language,Frequency,Operating Mode,Antenna Mode,Accessory Mode,GPS Mode,RTC Time Updated,spare bit,BT Mode,BT ASCII Format,BLE Mode,BLE ASCII Format,Battery Type,Volume Setting,Tx O/P Setting,Power Mode,Sonde/Line,LR Arrows Type,Depth Units,Tx Status,Compass Enabled,Strike Alert Enabled,Swing Alert Enabled,Side Step Enabled,Auto Timeout Enabled,Spray Wand Enabled,Cal Safe Enabled,Vibration f/back Enabled,Marker Type,Utility type,Utility Owner,RTC Update Info,SM_Log_Event,spare,Rx Ticketing Reference Number,Bargraph 1,Bargraph 2,Bargraph 3,Bargraph 4,Bargraph 5,Bargraph 6,Bargraph 7,Bargraph 8,Bargraph 9,Bargraph 10,Bargraph 11,Bargraph 12,Bargraph 13,Bargraph 14,Bargraph 15,Bargraph 16,Bargraph 17,Bargraph 18,Bargraph 19,Bargraph 20,Bargraph 21,Bargraph 22,Bargraph 23,Bargraph 24,Bargraph 25,Compass Enabled.1,CD Arrows,ACVG/FF Arrows,Compass Enabled.2,CD Arrows.1,ACVG/FF Arrows.1,Compass Enabled.3,CD Arrows.2,ACVG/FF Arrows.2,Compass Enabled.4,CD Arrows.3,ACVG/FF Arrows.3,Compass Enabled.5,CD Arrows.4,ACVG/FF Arrows.4,comp_disp 1,comp_disp 2,comp_disp 3,comp_disp 4,comp_disp 5,Swing Warning,Strike Alert,Overload Warning,F1 audio active,F2 audio active,Power audio active,Radio audio active,spare bit.1,Swing Warning.1,Strike Alert.1,Overload Warning.1,F1 audio active.1,F2 audio active.1,Power audio active.1,Radio audio active.1,spare bit.2,Swing Warning.2,Strike Alert.2,Overload Warning.2,F1 audio active.2,F2 audio active.2,Power audio active.2,Radio audio active.2,spare bit.3,Swing Warning.3,Strike Alert.3,Overload Warning.3,F1 audio active.3,F2 audio active.3,Power audio active.3,Radio audio active.3,spare bit.4,Swing Warning.4,Strike Alert.4,Overload Warning.4,F1 audio active.4,F2 audio active.4,Power audio active.4,Radio audio active.4,spare bit.5,Displayed Signal Strength 1,Displayed Signal Strength 2,Displayed Signal Strength 3,Displayed Signal Strength 4,Displayed Signal Strength 5,Tilt Blade angle 1,Tilt Blade angle 2,Tilt Blade angle 3,Tilt Blade angle 4,Tilt Blade angle 5,Tilt_Paddle angle 1,Tilt_Paddle angle 2,Tilt_Paddle angle 3,Tilt_Paddle angle 4,Tilt_Paddle angle 5,Depth,Current,Gain,F1 Signal Strength,F2 Signal Strength,Powersignal strength,Radio signal strength,Antenna Compass,CD Phase,ACVG/FF Phase,ACVG/FF Signal Strength,Dynamic Overload Protection,Spray Wand,GPS Reference point,spare bits,Magnetic Compass,Key Button Event,Battery Level,Temperature,Main Battery Volts,RTC Battery Volts,Ecert,Self Test,CD Reset,Cal Safe,Peak Detect,PCMx Peak Detect,MRX Peak Detect,spare bit.6,GPS Fix,Number of Sats,Altitude,HDOP,Latitude,Longitude,Rx Date,Rx Time,GPS Heading (in degrees),GPS Ground Speed,,,,,
0,3,6225,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,100,104,96,80,104,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-6,-5,-6,-8,-6,2,-4,0,0,-3,0,0,60,8.84242e-06,0,0,0,100,0,0,0,Not Active,Not Active,Not Active,0,0,0,2,18,166,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,12,0,0,0,0,4/18/2023,10:42:41,0,0,,,,,
1,3,6226,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,105,89,88,81,74,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-1,-4,0,-1,4,-4,-2,-2,-2,-1,0,0,60,6.66764e-06,0,0,0,74,0,0,0,Not Active,Not Active,Not Active,0,0,0,2,18,165,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,63,0,51.41484033,-2.584055333,4/18/2023,10:42:42,0,0,,,,,
2,3,6227,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,86,98,98,96,94,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-4,-8,-4,1,-15,2,6,11,13,15,0,0,60,2.12759e-05,0,0,0,94,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,164,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,61,0,51.41484483,-2.584046167,4/18/2023,10:42:43,0,0,,,,,
3,3,6228,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,88,105,95,94,85,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,0,-5,3,-7,-2,8,14,14,1,2,0,0,60,1.23255e-05,0,0,0,85,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,164,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,60,0,51.41484417,-2.584018167,4/18/2023,10:42:44,0,0,,,,,
4,3,6229,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,85,93,110,84,97,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-9,-8,-5,0,-3,-2,-4,4,11,5,0,0,60,1.54496e-05,0,0,0,97,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,164,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,60,0,51.414843,-2.583995333,4/18/2023,10:42:45,0,0,,,,,
5,3,6230,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,79,96,78,95,106,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-10,-7,3,-5,0,5,5,11,9,9,0,0,60,1.37345e-05,0,0,0,106,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,164,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,60,0,51.41484767,-2.583979167,4/18/2023,10:42:46,0,0,,,,,
6,3,6231,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,103,93,82,96,113,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-7,-4,-9,-7,8,4,3,-5,4,7,0,0,60,1.69557e-05,0,0,0,113,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,164,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,60,0,51.41484683,-2.5839555,4/18/2023,10:42:47,0,0,,,,,
7,3,6232,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,85,97,91,84,91,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-8,-5,-3,1,2,9,0,7,1,0,0,0,60,1.12048e-05,0,0,0,91,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,163,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,59,0,51.41484567,-2.583932667,4/18/2023,10:42:48,0,0,,,,,
8,3,6233,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,82,107,92,92,92,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,-6,-7,-8,1,-10,-7,-4,-3,4,-5,0,0,60,9.99438e-06,0,0,0,92,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,18,163,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,59,0,51.41484517,-2.583910167,4/18/2023,10:42:49,0,0,,,,,
9,3,6234,UK,8kHz (8192Hz),Active,Peak,None,Internal,Not updated,0,On,0,OFF,0,Li-Ion,0,Standby,50Hz,Sonde,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Telecom Transmission,BHCO1,0,0,3,ba9bb649-5d0b-4b92-a391-d2abf019814b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,95,85,92,98,97,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Active,Not Active,0,0,0,0,0,0,0,-3,-4,-11,1,10,11,-3,-1,-1,0,0,60,1.27297e-05,0,0,0,97,0,0,0,Not Active,Not Active,Not Active,0,0,0,3,19,163,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,59,0,51.41484567,-2.583887,4/18/2023,10:42:50,0,0,,,,,
