,Session Reference,Log Record Identifier,Language,Frequency,Operating Mode,Antenna Mode,Accessory Mode,GPS Mode,RTC Time Updated,spare bit,BT Mode,BT ASCII Format,BLE Mode,BLE ASCII Format,Battery Type,Volume Setting,Tx O/P Setting,Power Mode,Sonde/Line,LR Arrows Type,Depth Units,Tx Status,Compass Enabled,Strike Alert Enabled,Swing Alert Enabled,Side Step Enabled,Auto Timeout Enabled,Spray Wand Enabled,Cal Safe Enabled,Vibration f/back Enabled,Marker Type,Utility type,Utility Owner,RTC Update Info,SM_Log_Event,spare,Rx Ticketing Reference Number,Bargraph 1,Bargraph 2,Bargraph 3,Bargraph 4,Bargraph 5,Bargraph 6,Bargraph 7,Bargraph 8,Bargraph 9,Bargraph 10,Bargraph 11,Bargraph 12,Bargraph 13,Bargraph 14,Bargraph 15,Bargraph 16,Bargraph 17,Bargraph 18,Bargraph 19,Bargraph 20,Bargraph 21,Bargraph 22,Bargraph 23,Bargraph 24,Bargraph 25,Compass Enabled.1,CD Arrows,ACVG/FF Arrows,Compass Enabled.2,CD Arrows.1,ACVG/FF Arrows.1,Compass Enabled.3,CD Arrows.2,ACVG/FF Arrows.2,Compass Enabled.4,CD Arrows.3,ACVG/FF Arrows.3,Compass Enabled.5,CD Arrows.4,ACVG/FF Arrows.4,comp_disp 1,comp_disp 2,comp_disp 3,comp_disp 4,comp_disp 5,Swing Warning,Strike Alert,Overload Warning,F1 audio active,F2 audio active,Power audio active,Radio audio active,spare bit.1,Swing Warning.1,Strike Alert.1,Overload Warning.1,F1 audio active.1,F2 audio active.1,Power audio active.1,Radio audio active.1,spare bit.2,Swing Warning.2,Strike Alert.2,Overload Warning.2,F1 audio active.2,F2 audio active.2,Power audio active.2,Radio audio active.2,spare bit.3,Swing Warning.3,Strike Alert.3,Overload Warning.3,F1 audio active.3,F2 audio active.3,Power audio active.3,Radio audio active.3,spare bit.4,Swing Warning.4,Strike Alert.4,Overload Warning.4,F1 audio active.4,F2 audio active.4,Power audio active.4,Radio audio active.4,spare bit.5,Displayed Signal Strength 1,Displayed Signal Strength 2,Displayed Signal Strength 3,Displayed Signal Strength 4,Displayed Signal Strength 5,Tilt Blade angle 1,Tilt Blade angle 2,Tilt Blade angle 3,Tilt Blade angle 4,Tilt Blade angle 5,Tilt_Paddle angle 1,Tilt_Paddle angle 2,Tilt_Paddle angle 3,Tilt_Paddle angle 4,Tilt_Paddle angle 5,Depth,Current,Gain,F1 Signal Strength,F2 Signal Strength,Powersignal strength,Radio signal strength,Antenna Compass,CD Phase,ACVG/FF Phase,ACVG/FF Signal Strength,Dynamic Overload Protection,Spray Wand,GPS Reference point,spare bits,Magnetic Compass,Key Button Event,Battery Level,Temperature,Main Battery Volts,RTC Battery Volts,Ecert,Self Test,CD Reset,Cal Safe,Peak Detect,PCMx Peak Detect,MRX Peak Detect,spare bit.6,GPS Fix,Number of Sats,Altitude,HDOP,Latitude,Longitude,Rx Date,Rx Time,GPS Heading (in degrees),GPS Ground Speed
0,1,61555,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,6,6,5,6,8,8,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,102,106,103,101,103,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,80,80,0,0,0,1,1,1,1,2,-4,-6,-6,-6,-6,0,0,98,0.0861491,0,0,0,106,71,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,199,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:28,0,0
1,1,61556,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,6,6,6,5,4,6,11,13,13,12,11,10,9,9,9,9,8,8,12,16,16,15,13,12,11,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,102,110,120,123,125,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,89,89,116,119,119,0,0,0,1,1,-5,-4,-3,-3,-4,0,0,98,0.137129,0,0,0,125,139,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,200,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:29,0,0
2,1,61557,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,10,8,8,8,7,6,5,5,4,4,3,4,6,8,11,11,11,10,10,11,13,12,11,10,9,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,106,111,112,115,105,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,154,154,69,108,108,2,1,1,1,2,-2,-2,-2,-3,-3,0,0,98,0.116981,0,0,0,105,0,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,201,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:30,0,0
3,1,61558,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,9,8,8,7,7,7,6,6,5,5,4,4,4,4,4,5,6,7,8,8,8,8,7,7,6,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,Right 1,No arrows,No arrows,0,No arrows,No arrows,108,119,91,106,101,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,130,130,77,63,63,1,2,1,1,1,-3,-2,-3,-3,-1,0,0,98,0.0775159,0,0,0,101,228,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:31,0,0
4,1,61559,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,6,6,5,5,7,7,7,7,7,7,7,7,6,6,5,5,5,5,4,4,4,4,5,5,5,Right 1,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,105,124,104,108,96,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,88,88,85,70,70,1,1,1,0,1,-2,-1,-2,-2,-2,0,0,98,0.0642421,0,0,0,96,104,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:32,0,0
5,1,61560,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,6,6,5,5,4,4,3,4,6,9,8,8,7,7,6,6,7,8,7,6,7,9,8,8,7,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,109,102,99,109,104,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,58,58,65,90,90,0,0,0,1,1,-1,-2,-3,-2,-3,0,0,98,0.0943581,0,0,0,104,102,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:33,0,0
6,1,61561,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,7,7,6,6,5,6,9,11,12,13,13,12,11,10,9,8,7,6,6,7,8,8,7,6,7,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,Right 1,No arrows,No arrows,0,No arrows,No arrows,101,114,103,109,116,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,94,94,107,117,117,0,1,1,1,1,-2,-3,-2,-2,-2,0,0,98,0.0867745,0,0,0,116,334,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:34,0,0
7,1,61562,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,7,8,10,9,8,7,6,5,5,6,7,10,13,15,14,13,11,10,9,8,7,6,6,5,5,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,113,102,116,110,102,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,90,90,90,145,145,0,1,1,1,0,-2,-2,-3,-3,-3,0,0,98,0.0594693,0,0,0,102,323,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:35,0,0
8,1,61563,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,4,4,4,4,4,4,4,5,5,5,6,7,7,6,6,6,6,6,8,9,11,12,12,12,11,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,Right 1,No arrows,No arrows,87,110,110,94,112,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,77,77,52,78,78,0,0,0,-1,-1,-3,-3,-4,-4,-4,0,0,98,0.134644,0,0,0,112,237,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:36,0,0
9,1,61564,UK,380,CD,Null,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,2,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,off,UNK,Telecom Transmission,BHCO1,0,0,3,5ca5c857-c272-46a3-92a5-1dcc2c49248a,11,15,17,16,15,13,11,10,9,7,6,6,8,10,10,9,8,7,6,6,6,6,6,5,5,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,111,94,109,93,106,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,135,163,163,100,100,-2,-2,-1,-3,-1,-5,-4,-5,-5,-5,0,0,98,0.0633446,0,0,0,106,166,0,0,Not Active,Not Active,Not Active,0,0,0,0,17,202,144,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,NO_GPS_FIX,0,0,99,0,0,4/18/2023,11:10:37,0,0
